ts,phase,index,temp_c,fan_pct,power_w,power_limit_w,mem_used_mib,mem_total_mib,util_pct
1777906568.160,pflash_load,1,51,0,22.61,230.00,1,24576,0
1777906569.209,pflash_load,0,45,57,29.00,230.00,1,24576,0
1777906569.209,pflash_load,1,51,0,22.49,230.00,1,24576,0
1777906570.257,pflash_load,0,45,57,29.16,230.00,1,24576,0
1777906570.257,pflash_load,1,51,0,22.45,230.00,1,24576,0
1777906571.306,pflash_load,0,45,57,29.01,230.00,1,24576,0
1777906571.306,pflash_load,1,51,0,22.55,230.00,1,24576,0
1777906572.353,pflash_load,0,44,57,29.03,230.00,1,24576,0
1777906572.353,pflash_load,1,51,0,22.71,230.00,1,24576,0
1777906573.401,pflash_load,0,44,57,29.17,230.00,1,24576,0
1777906573.401,pflash_load,1,51,0,22.70,230.00,1,24576,0
1777906574.450,pflash_load,0,44,57,29.03,230.00,1,24576,0
1777906574.450,pflash_load,1,51,0,22.61,230.00,1,24576,0
1777906575.498,pflash_load,0,44,57,29.07,230.00,1,24576,0
1777906575.498,pflash_load,1,51,0,22.62,230.00,1,24576,0
1777906576.549,pflash_load,0,44,57,29.32,230.00,1,24576,0
1777906576.549,pflash_load,1,51,0,22.79,230.00,1,24576,0
1777906577.597,pflash_load,0,44,57,29.25,230.00,1,24576,0
1777906577.597,pflash_load,1,51,0,22.97,230.00,1,24576,0
1777906578.646,pflash_load,0,44,57,29.22,230.00,1,24576,0
1777906578.646,pflash_load,1,51,0,22.86,230.00,1,24576,0
1777906579.696,pflash_load,0,44,56,29.31,230.00,1,24576,0
1777906579.696,pflash_load,1,51,0,22.65,230.00,1,24576,0
1777906580.745,pflash_load,0,44,51,29.08,230.00,1,24576,0
1777906580.745,pflash_load,1,51,0,22.70,230.00,1,24576,0
1777906581.796,pflash_load,0,44,45,28.88,230.00,1,24576,0
1777906581.796,pflash_load,1,51,0,22.82,230.00,1,24576,0
1777906582.852,pflash_load,0,44,0,28.72,230.00,1,24576,0
1777906582.852,pflash_load,1,51,0,22.94,230.00,1,24576,0
1777906583.903,pflash_load,0,44,0,28.17,230.00,1,24576,0
1777906583.903,pflash_load,1,51,0,23.00,230.00,1,24576,0
1777906584.951,pflash_load,0,44,0,28.00,230.00,1,24576,0
1777906584.951,pflash_load,1,51,0,22.82,230.00,1,24576,0
1777906586.001,pflash_load,0,44,0,27.84,230.00,1,24576,0
1777906586.001,pflash_load,1,51,0,22.83,230.00,1,24576,0
1777906587.050,pflash_load,0,44,0,27.80,230.00,1,24576,0
1777906587.050,pflash_load,1,51,0,22.98,230.00,1,24576,0
1777906588.100,pflash_load,0,44,0,27.92,230.00,1,24576,0
1777906588.100,pflash_load,1,51,0,22.77,230.00,1,24576,0
1777906589.148,pflash_load,0,44,0,27.83,230.00,1,24576,0
1777906589.148,pflash_load,1,51,0,22.63,230.00,1,24576,0
1777906590.196,pflash_load,0,44,0,27.96,230.00,1,24576,0
1777906590.196,pflash_load,1,51,0,22.70,230.00,1,24576,0
1777906591.245,pflash_load,0,44,0,28.11,230.00,1,24576,0
1777906591.245,pflash_load,1,51,0,22.63,230.00,1,24576,0
1777906592.296,pflash_load,0,44,0,27.91,230.00,1,24576,0
1777906592.296,pflash_load,1,51,0,22.74,230.00,1,24576,0
1777906593.345,pflash_load,0,44,0,27.89,230.00,1,24576,0
1777906593.345,pflash_load,1,51,0,22.82,230.00,1,24576,0
1777906594.395,pflash_load,0,44,0,28.09,230.00,1,24576,0
1777906594.395,pflash_load,1,51,0,22.88,230.00,1,24576,0
1777906595.445,pflash_load,0,44,0,27.99,230.00,1,24576,0
1777906595.445,pflash_load,1,51,0,22.94,230.00,1,24576,0
1777906596.495,pflash_load,0,44,0,27.99,230.00,1,24576,0
1777906596.495,pflash_load,1,51,0,22.82,230.00,1,24576,0
1777906597.545,pflash_load,0,45,0,28.17,230.00,1,24576,0
1777906597.545,pflash_load,1,51,0,22.75,230.00,1,24576,0
1777906598.594,pflash_load,0,45,0,27.97,230.00,1,24576,0
1777906598.594,pflash_load,1,51,0,22.75,230.00,1,24576,0
1777906599.642,pflash_load,0,45,0,27.94,230.00,1,24576,0
1777906599.642,pflash_load,1,51,0,22.60,230.00,1,24576,0
1777906600.695,pflash_load,0,45,0,28.17,230.00,1,24576,0
1777906600.695,pflash_load,1,51,0,22.45,230.00,1,24576,0
1777906601.747,pflash_load,0,45,0,28.09,230.00,1,24576,0
1777906601.747,pflash_load,1,51,0,22.55,230.00,1,24576,0
1777906602.795,pflash_load,0,45,0,28.17,230.00,1,24576,0
